symbol
AA
AAL
AAP
AAPL
ABBV
ABNB
ABR
ABT
ACHR
ACI
ACN
ADBE
ADI
ADM
ADP
ADSK
AEO
AFL
AFRM
AG
AGNC
AI
AIG
AKAM
ALB
ALGN
ALLY
ALT
AMAT
AMBA
AMC
AMD
AMGN
AMZN
ANET
ANF
ANVS
APA
APO
APT
AR
ASAN
ASML
ASO
ASPN
ASTS
AVGO
AXP
AZN
BA
BABA
BAC
BAX
BB
BBWI
BBY
BE
BEKE
BHC
BIDU
BIIB
BILI
BILL
BITF
BK
BKNG
BLK
BLNK
BMBL
BMY
BP
BSX
BTBT
BTU
BUD
BURL
BX
BYND
BYON
C
CAG
CAH
CAN
CAR
CAT
CBOE
CC
CCJ
CCL
CELH
CF
CGC
CHPT
CHTR
CHWY
CI
CIFR
CL
CLF
CLMT
CLOV
CLS
CLSK
CMA
CMCSA
CMG
CNC
CNQ
COF
COHR
COP
COST
CPB
CPNG
CPRI
CRH
CRM
CROX
CRSP
CRWD
CSCO
CSIQ
CSX
CTAS
CTRA
CVNA
CVS
CVX
CZR
DAL
DASH
DBX
DD
DDOG
DE
DECK
DELL
DFS
DG
DHI
DHR
DIS
DKNG
DKS
DLR
DLTR
DOCU
DOW
DPZ
DQ
DVN
DXCM
EBAY
EBS
EH
EL
ELF
EMR
ENPH
ENVX
EOG
EOSE
EPD
EQT
ET
ETN
ETSY
EVGO
EXPE
F
FANG
FCEL
FCX
FDX
FFAI
FI
FIS
FL
FOXA
FSLR
FSLY
FTAI
FTNT
FUBO
FUTU
GAP
GD
GDDY
GE
GEO
GEVO
GILD
GLW
GM
GME
GOLD
GOOG
GOOGL
GOOS
GRAB
GRPN
GS
GSK
HAL
HD
HE
HES
HIMS
HIVE
HL
HLF
HOG
HON
HPE
HPQ
HRL
HSBC
HSY
HUM
HUT
HWM
IBM
IEP
ILMN
INO
INTC
INTU
IONQ
IOVA
IP
IQ
IRBT
IRM
ISRG
JBLU
JD
JMIA
JNJ
JOBY
JPM
JWN
K
KEY
KGC
KHC
KKR
KMB
KMI
KO
KR
KSS
KULR
LAZR
LCID
LEN
LI
LLY
LMND
LMT
LOW
LRCX
LULU
LUMN
LUV
LVS
LYFT
M
MA
MANU
MAR
MARA
MCD
MCHP
MCK
MDB
MDLZ
MDT
MELI
META
MGM
MLCO
MMM
MNKD
MNST
MO
MOS
MPC
MPW
MRK
MRNA
MRVL
MS
MSFT
MSTR
MT
MTCH
MU
MVIS
NCLH
NEE
NEM
NET
NFE
NFLX
NIO
NKE
NLY
NOK
NOW
NSC
NTAP
NTES
NTR
NUE
NVAX
NVDA
NVO
NXPI
OKTA
OMEX
ON
OPEN
ORCL
OXY
PAA
PAAS
PANW
PARA
PBI
PBR
PCG
PCT
PDD
PENN
PEP
PFE
PG
PGR
PHM
PINS
PLCE
PLTR
PLUG
PM
PNC
POET
PPG
PSX
PTON
PYPL
QBTS
QCOM
QS
QSI
QUBT
RBLX
RCAT
RCL
RDFN
REGN
RH
RIG
RILY
RIOT
RKLB
RKT
RNG
ROKU
ROST
RTX
RUN
SAVA
SBUX
SCHW
SE
SEDG
SFIX
SHAK
SHEL
SHOP
SIG
SIRI
SLB
SMCI
SMMT
SNAP
SNDL
SNOW
SNV
SO
SOFI
SONY
SPCE
SPGI
SPOT
SPR
SRPT
STLA
STNE
STX
STZ
SU
SYM
T
TAL
TDOC
TEAM
TECK
TEVA
TFC
TGT
TGTX
TIGR
TJX
TLRY
TMO
TMUS
TOL
TPR
TRIP
TSCO
TSLA
TSM
TTD
TTWO
TWLO
TXN
TXRH
U
UAL
UBER
UBS
UEC
ULTA
UNH
UNP
UPS
UPST
URBN
URI
USB
UWMC
V
VALE
VERU
VFC
VKTX
VLO
VOD
VRT
VRTX
VST
VZ
W
WB
WBA
WBD
WDAY
WDC
WFC
WGS
WKHS
WMB
WMT
WOLF
WPM
WULF
WYNN
X
XOM
XP
XPEV
XYZ
Z
ZI
ZIM
ZM
ZS
